Bank #,Expr. Bank #,Preset #,Preset Name,Details,Sample Credit,Changes from Original Version,Different from “MuseScore_General.sf2”?
0,17,86,5th Saw Wave,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
0,17,87,Bass & Lead,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
0,,88,Fantasia,Uses a combination of my analog synth waveforms and one layer of my FM Electric Piano preset.,Samples: created by S. Christian Collins,,
0,17,89,Warm Pad,,,,x
0,17,90,Polysynth,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,I removed the modulation envelope attack modulator as it caused a loud popping in MuseScore.,
0,17,91,Space Voice,,,,
0,17,92,Bowed Glass,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
0,17,93,Metal Pad,Uses a combination of my analog synth waveforms and 000:025 Steel String Guitar.,Samples: mix of samples by S. Christian Collins / Frank Wen,,
0,17,94,Halo Pad,Uses a combination of my analog synth waveforms and 000:054 Synth Voice.,Samples: mix of samples by S. Christian Collins / Frank Wen,,
0,17,95,Sweep Pad,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
0,,96,Ice Rain,Uses a combination of my analog synth waveforms and 000:013 Xylophone.,Samples: mix of samples by S. Christian Collins / Frank Wen,,
0,17,97,SoundTrack,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
0,,98,Crystal,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
0,17,99,Atmosphere,Uses a combination of my analog synth waveforms and 000:024 Nylon String Guitar.,Samples: mix of samples by S. Christian Collins / Frank Wen,,
0,,100,Brightness,"Uses a combination of my analog synth waveforms and 000:054 Synth Voice, plus a processed sample from 000:076 Bottle Chiff.",Samples: mix of samples by S. Christian Collins / Frank Wen,,
0,17,101,Goblin,,,,
0,17,102,Echo Drops,,,,
0,17,103,Star Theme,Uses a combination of my analog synth waveforms and 000:027 Clean Guitar.,Samples: mix of samples by S. Christian Collins / Frank Wen,,
0,,104,Sitar,,,,
0,,105,Banjo,,,,
0,,106,Shamisen,,,,
0,,107,Koto,,,,
0,,108,Kalimba,,,,
0,,109,Bagpipe,,,,
0,17,110,Fiddle,,,,
0,17,111,Shenai,,,,
0,,112,Tinker Bell,,,,
0,,113,Agogo,,,,
0,,114,Steel Drums,,,,
0,,115,Woodblock,,,,
0,,116,Taiko Drum,,,,
0,,117,Melodic Tom,,,,
0,,118,Synth Drum,,,,
0,,119,Reverse Cymbal,,,,
0,,120,Fret Noise,,,,
0,,121,Breath Noise,,,,
0,,122,Seashore,,,,
0,,123,Bird Tweet,,,,
0,,124,Telephone,,,,
0,,125,Helicopter,,,,
0,,126,Applause,,,,
0,,127,Gunshot,,,,
1,,115,Temple Blocks,,Samples: created by Ethan Winer,,
8,,0,Mellow Grand Piano,same info as 000:000 Grand Piano,,,
8,,4,Detuned Tine EP,,,,
8,,5,Detuned FM EP,same info as 000:005 FM Electric Piano,,,
8,,6,Coupled Harpsichord,,,,
8,,14,Church Bell,,,,
8,18,16,Detuned Organ 1,,,,
8,18,17,Detuned Organ 2,,,,
8,18,19,Church Organ 2,,,,
8,18,21,Italian Accordion,,,,
8,,24,Ukulele,,,,
8,,25,12-String Guitar,,,,
8,,26,Hawaiian Guitar,,,,
8,,28,Funk Guitar,,,,
8,,30,Feedback Guitar,,,,
8,,31,Guitar Feedback,,,,
8,,38,Synth Bass 3,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
8,,39,Synth Bass 4,uses samples from 000:039 Synth Bass 2 and 000:036 Slap Bass,Samples: mix of public domain / Frank Wen,,
8,18,40,Slow Violin,,,,
8,,48,Orchestral Pad,,,,x
8,18,50,Synth Strings 3,Uses a combination of my analog synth waveforms and processed VSCO2 strings samples (see 000:048 Strings Fast).,Samples: mix of samples by S. Christian Collins / Versilian Studios,,x
8,18,61,Brass 2,,,,
8,18,62,Synth Brass 3,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
8,18,63,Synth Brass 4,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
8,18,80,Sine Wave,I generated my own analog synth waveforms and programmed the sound in the same way I would on a a real analog synth.,Samples: created by S. Christian Collins,,
8,,107,Taisho Koto,,,,
8,,115,Castanets,,,,
8,,116,Concert Bass Drum,,,,
8,,117,Melo Tom 2,,,,
8,,118,808 Tom,,,,
16,,25,Mandolin,,,,
20,21,44,Violins Tremolo,same info as 000:048 Strings Fast,,,x
20,21,45,Violins Pizzicato,same info as 000:048 Strings Fast,,,x
20,21,48,Violins Fast,same info as 000:048 Strings Fast,,,x
20,21,49,Violins Slow,same info as 000:048 Strings Fast,,,x
25,26,44,Violins2 Tremolo,same info as 000:048 Strings Fast,,,x
25,26,45,Violins2 Pizzicato,same info as 000:048 Strings Fast,,,x
25,26,48,Violins2 Fast,same info as 000:048 Strings Fast,,,x
25,26,49,Violins2 Slow,same info as 000:048 Strings Fast,,,x
30,31,44,Violas Tremolo,same info as 000:048 Strings Fast,,,x
30,31,45,Violas Pizzicato,same info as 000:048 Strings Fast,,,x
30,31,48,Violas Fast,same info as 000:048 Strings Fast,,,x
30,31,49,Violas Slow,same info as 000:048 Strings Fast,,,x
40,41,44,Celli Tremolo,same info as 000:048 Strings Fast,,,x
40,41,45,Celli Pizzicato,same info as 000:048 Strings Fast,,,x
40,41,48,Celli Fast,same info as 000:048 Strings Fast,,,x
40,41,49,Celli Slow,same info as 000:048 Strings Fast,,,x
50,51,44,Basses Tremolo,same info as 000:048 Strings Fast,,,x
50,51,45,Basses Pizzicato,same info as 000:048 Strings Fast,,,x
50,51,48,Basses Fast,same info as 000:048 Strings Fast,,,x
50,51,49,Basses Slow,same info as 000:048 Strings Fast,,,x
128,,0,Standard,,,,
128,,1,Standard 1,,,,
128,,2,Standard 2,,,,
128,,3,Standard 3,,,,
128,,4,Standard 4,,,,
128,,5,Standard 5,,,,
128,,6,Standard 6,,,,
128,,7,Standard 7,,,,
128,,8,Room,,,,
128,,9,Room 1,,,,
128,,10,Room 2,,,,
128,,11,Room 3,,,,
128,,12,Room 4,,,,
128,,13,Room 5,,,,
128,,14,Room 6,,,,
128,,15,Room 7,,,,
128,,16,Power,,,,
128,,17,Power 1,,,,
128,,18,Power 2,,,,
128,,19,Power 3,,,,
128,,24,Electronic,,,,
128,,25,TR-808,,,,
128,,32,Jazz,,,,
128,,33,Jazz 1,,,,
128,,34,Jazz 2,,,,
128,,35,Jazz 3,,,,
128,,36,Jazz 4,,,,
128,,40,Brush,,,,
128,,41,Brush 1,,,,
128,,42,Brush 2,,,,
128,,48,Orchestra Kit,,,,
128,,56,Marching Snare,Uses samples from MuseScore Drumline (MDL),Samples: created by S. Christian Collins & Amir Oosman,,
128,,57,OldMarchingBass,Uses samples from MuseScore Drumline (MDL),Samples: created by S. Christian Collins & Amir Oosman,,
128,,58,Marching Cymbals,"Open crash samples are from the Versilian Community Sample Library (VCSL)
All other cymbal samples were created by Michael Schorsch.","Original License: samples by VCSL: CC0, samples by Michael Schorsch: MIT",,
128,,59,Marching Bass,Uses samples from MuseScore Drumline (MDL),Samples: created by S. Christian Collins & Amir Oosman,,
128,,95,OldMarchingTenor,Uses samples from MuseScore Drumline (MDL),Samples: created by S. Christian Collins & Amir Oosman,,
128,,96,Marching Tenor,Uses samples from MuseScore Drumline (MDL),Samples: created by S. Christian Collins & Amir Oosman,,
